rainfall,temperature,soil_moisture,soil_pH,nitrogen,phosphorus,potassium,irrigation,crop_area,fertilizer,pesticide,sunlight,humidity,altitude,wind_speed,groundwater,crop_diversity,mechanization,yield_variance,avg_yield
297.82,35.6,45.51,5.6,136.47,116.32,57.59,69.47,311.03,203.35,2.06,5.46,40.1,1382.93,34.68,87.16,0.17,33.95,1.87,4.74
290.05,32.23,58.3,5.32,107.37,77.79,118.67,99.92,122.4,143.56,19.93,11.51,96.97,1410.42,24.11,36.03,0.01,24.62,7.58,2.35
1249.92,36.55,63.59,6.59,52.24,18.98,29.95,90.6,386.38,50.89,17.22,9.27,86.33,207.66,22.64,96.58,0.25,51.68,2.56,1.01
1641.49,34.11,17.05,6.8,29.09,118.92,37.85,71.6,234.56,187.52,24.69,8.61,90.17,1778.18,48.93,26.23,0.03,96.36,5.75,7.63
992.04,14.59,33.2,6.63,120.02,51.33,97.35,48.86,350.85,148.29,14.13,5.06,43.17,2962.88,36.78,61.43,0.81,61.25,4.94,9.75
1340.12,16.24,14.5,4.97,129.85,105.62,40.54,17.19,296.06,66.05,9.54,11.76,53.27,2139.18,47.09,75.23,0.06,30.69,8.81,9.65
341.07,26.95,65.26,4.23,86.86,33.06,68.38,23.18,12.82,146.31,2.92,7.52,60.67,127.69,34.27,5.93,0.76,80.95,2.85,7.13
1795.94,38.93,74,5.21,70.32,21.15,51.02,68.86,147.07,224.39,22.64,6.18,31.95,1144.65,10.26,68.73,0.17,67.46,2.19,5.17
293.04,24.97,36.38,4.82,84.19,122.31,116.23,30.19,359.16,43.18,32.43,11.65,58.22,1989,1.97,98.13,0.27,86.34,2.06,9.54
1424.66,27.69,41.39,8.25,148.52,133.61,144.8,73.17,419.35,193.06,16.88,6.43,78.68,30.73,49.83,97.09,0.18,53.39,3.06,1.76
836.65,10.63,38.49,6.77,20.17,78.62,82.69,63.28,290.85,67.96,30.43,9.84,85.09,2095.68,31.55,7.41,0.22,37.78,6.42,4.68
1812.46,15.58,14.01,6.65,98.43,145.77,24.87,75.39,493.55,172.58,27.99,10.05,97.54,1898.05,10.49,90.81,0.37,66.43,9.82,7.13
1091.31,17.29,36.93,8.72,136.1,131,20.08,86.76,331.94,195.31,1.97,5.34,76.47,18.57,27.01,30.62,0.43,17.51,0.46,6.52
655.53,27.24,21.08,4.5,86.96,42.64,29,18.46,169.85,139.63,13.5,6.38,44.16,1161.78,48.18,99.56,0.33,11.99,2.93,6.73
549.49,39.39,44.76,6.12,118.96,139.14,66.31,45.48,436.57,58.14,27.88,7.08,55.31,2511.88,16.69,69.37,0.37,57.02,7.05,1.39
246.84,13.38,31.06,7.78,13.92,144.2,118.57,84.07,426.44,127.73,31.82,10.82,66.21,2759.43,1.16,39.73,0.87,70.72,4.17,7.12
842.02,39.96,27.8,4.1,40.94,69.12,43.6,66.52,334.4,270.44,14.26,5.75,94.89,2075.01,19.41,52.06,0.2,1.1,6.06,1.82
444.36,39.74,19.77,7.23,124.46,97.11,90.86,40.36,367.24,248.84,34.7,7.47,56.81,888.41,13.77,33.96,0.93,5.78,8.21,8.54
346.28,11.22,59.93,8.25,62.87,129.18,75.56,96.03,157.39,155.72,18.47,11.35,95.52,2789.63,49.89,41.19,0.02,24.62,0.69,5
1342.34,15.39,48.07,6.54,100.83,64.34,27.35,25.54,464.49,130.21,10.47,11.67,43.61,2302.88,16,56.29,0.19,12.32,4.68,9.8
946.41,26.25,14.39,8.93,68.36,15.33,37.03,92.89,438.56,160.66,8.41,6.24,46.04,2452,10.2,51.19,0.78,54.97,8.3,8.84
788.24,18.06,61.08,4.86,78.68,29.42,67.09,17.75,39.5,113.15,22.35,10.34,47.3,2816.17,27.82,13.8,0.24,98.72,7.45,1.04
711.43,31.98,20.92,6.16,126.66,50.03,137.12,76.65,112.19,236.56,47.7,5.37,24.18,945.02,44.58,58.61,0.58,50.91,3.01,5.98
277.48,28.73,29.87,7.81,149.56,46.33,84.98,65.2,355.35,227.47,34.54,10.01,28.01,2025.19,43.6,98.49,0.18,26.32,8.94,6.69
1890.52,14.62,75.6,6.48,65.22,103.94,35.07,47.33,224.16,60.47,5.51,5.9,30.62,2147.38,33.06,37.6,0.06,84.74,3.26,9
671.95,16.94,27.92,5.39,60.22,113.9,139.12,67.68,34.44,40.22,8.98,11.97,96.55,1413.08,12.51,74.36,0.31,75.71,3,8.94
1896.89,29.85,62.3,6.7,141.39,91.36,34.71,56.57,97.71,256.97,38.88,8.16,67.7,2724.96,41.12,27.97,0.25,43.27,7.73,2.45
1038.7,17.61,39.56,4.09,11,70.54,11.56,31.01,121.74,144.5,29.49,10.03,65.57,959.21,1.24,72.92,0.11,73.88,7.6,2.82
1000.46,39.09,13.2,7.12,89.86,82.9,134.54,36.07,291.34,181.85,13.88,9.57,70.31,1633.37,27.62,71.81,0.97,94.83,0.01,9.84
1266.71,34.61,42.91,7.49,109.54,31.24,103.77,54.24,191.64,274.81,22.08,5.44,22.55,2404.77,35.34,13.02,0.19,60.57,7.24,9.35
610.39,16.61,15.59,8.63,133.7,141.25,119.51,21.95,121.96,149.69,48,9.84,66.81,2210.76,0.39,97.31,0.99,65.85,0.72,1.95
360.98,18.04,12.01,8.43,29.82,116.33,44.06,43.98,142.58,162.79,30.19,8.82,97.42,1810.35,28.24,37.36,0.47,40,0.47,3.36
1864.99,39.47,27.77,8.51,143.22,130.06,92.76,90.28,417.86,218.85,37.74,10.71,48.52,2056.34,6.3,14.04,0.87,18.54,8.95,9.58
1190.42,37.12,78.82,4.99,141.19,14.94,128.12,54.95,266.45,191.72,45.54,8.57,83.53,1105.73,47.68,62.49,0.28,77.06,6.24,2.05
201.86,39.08,67.62,8.4,12.57,16.55,31.89,77.77,476.98,122.07,39.97,9.83,93.67,590.21,48.38,65.08,0.13,18.33,5,2.62
1847.4,24.41,79.05,8.74,120.39,46.94,82.5,47.13,260.9,165.53,10.76,11.15,93.3,2686.67,17.84,85.18,0.64,8.57,4.49,2.88
702.49,24.04,14.7,6.3,35.55,36.87,65.05,73.14,34.95,217.98,26.05,5.58,83.1,588.66,46.36,31.96,0.37,36.15,4.39,9.49
1187.61,20.86,15.22,8.75,47.85,83.47,46.16,74.54,273.25,117.3,41.3,7.78,64.73,1387.19,14.39,48.87,0.39,68.52,2,8.52
1014.35,19.19,75.21,5.45,58.18,15.3,23.32,27.92,175.75,280.81,45.1,10.32,43.76,1105.27,18.74,26.7,0.21,23.92,0.91,7.72
1454.38,35.16,42.25,4.67,42.8,75.74,36.36,79.24,225.71,268.8,25.53,11.46,97.88,1634.45,29.48,77.62,0.58,34.51,3.22,9.81
1891.77,33.12,76.87,7.96,137.67,26.42,105.93,40.04,235.98,97.7,34.6,7.43,24.9,2838.9,30.98,70.02,0.22,97.97,1.14,9.49
1178.2,12.68,22.66,4.62,142.19,28.86,54.8,74.81,314.82,257.63,16.72,7.87,58.41,1030.37,27.28,35.33,0.46,46.18,9.69,7.96
833.36,29.25,46.33,5.5,54.69,53.3,96.05,10.83,31.17,164,32.42,7.23,94.29,911.37,44.82,22.38,0.92,75.18,3.98,7.99
755.6,38.51,65.22,6.26,38.56,55.32,52.07,10.46,51.37,75.57,24.79,7.76,71.52,1889.26,19.16,19.58,0.62,13.46,1.47,5.79
1525.71,13.98,16,4.2,17.29,101.57,94.73,15.12,241.98,186.58,26.54,10.49,63.51,1691.87,20.09,83.74,0.89,55.21,5.15,8.36
1527.11,26.01,12.28,5.02,77.34,74.01,70.73,98.68,403.48,234.73,16.2,9.67,92.87,809.82,18.55,96.06,0.16,90.45,0.02,8.06
1545.78,37.98,54.94,8.59,46.27,46.3,138.48,93.85,143.56,268.93,42.11,5.4,46.98,2974.83,3.79,72.94,0.89,82.68,7.35,1.45
1642.46,18.07,18.77,6.8,70.26,47.83,29.13,32.22,328.8,68.44,21.92,8.35,96.05,2612.71,46.9,68.17,0.99,25.05,5.17,6.82
947.26,13.56,25.77,6.82,106.96,91.85,81.17,57.73,60.56,206.03,20.74,9.58,50.29,2957.22,20.78,37.15,0.66,22.6,6.35,1.34
1358.35,34.46,29.93,8.29,98.91,22.74,145.23,94.36,371.82,206.16,5.06,6.43,56.96,2415.09,32.38,81.88,0.91,91.96,9.81,1.41
1150.58,33.3,65.03,8.2,14.4,117.03,125.28,67.95,472.11,208.12,49.04,9.33,37.18,1084.87,19.29,25.36,0.9,16.19,6.95,7.46
303.45,24.2,69.14,7.1,24.46,45.67,41.05,36.97,469.11,15.75,16.23,6.58,94.19,2125.75,27.69,2.4,0.16,69.06,8.87,2.18
1287.87,36.2,36.72,8.55,76.59,25.16,97.95,10.21,496.06,73.47,40.85,7.41,28.73,1918.53,32.5,86.38,0.85,74.32,3.4,4.27
1725.99,37.06,53.51,7.2,98.42,87.2,105.96,88.89,276.95,206.3,47.55,8.39,31.55,715.49,43.44,67.98,0.44,1.35,1.08,1.35
1993.38,33.11,25.28,5.19,69.84,127.43,131.9,86.89,156.61,222.81,37.86,6.02,94.54,138.8,29.31,85.2,0.67,5.54,4.64,8.2
1861.23,31.92,29.8,8.95,55.54,62.08,95.14,32.22,324.84,225.51,21.39,5.08,27.89,1197.72,0.46,23.33,0.63,28.26,1.99,9.8
528.83,17.63,19.82,6.83,22.7,46.37,100.51,87.64,234.56,290.02,10,5.11,67.61,1179.29,44.04,45.66,0.34,47.86,9.09,9.93
235.05,23.73,48.42,4.07,72.88,31.77,111.35,33.56,327.76,159.68,25.86,7.42,86.57,2485.59,39.32,94.95,0.22,17.47,6.61,6.65
416.29,35.35,26.91,8.83,84.75,13.3,22.27,23.66,1.12,242.51,30.04,11.07,55.57,2515.96,0.26,68.4,0.62,6.83,6.77,3.44
1741.83,30.66,54.82,7.28,29.66,113.28,68.23,29.46,259.87,55.53,34.02,6.18,61.21,2337.12,10.34,35.98,0.01,38.24,2.53,5.29
563.52,36.39,70.57,5.61,40.02,12.66,123.63,95.1,90.85,204.8,15.93,11.42,22.98,372.53,31.5,83.92,0.53,60.58,3.9,2.33
818.17,38.71,54.57,4.66,12.13,122.71,78.62,55.27,434.72,149.47,29.88,5.01,21.03,356.41,39.15,74.78,0.59,52.26,3.24,3.81
746.92,23.51,46.4,6.43,112.72,116.77,84.32,48.07,357.44,270.32,35.2,8.71,40.61,52.13,10.44,51.32,0.62,33.49,1.9,1.67
1612.42,33.68,61.92,6.11,32.03,131.94,127.14,13.26,171.04,231.18,33.26,8.44,52.14,101.91,15.96,31.95,0.14,62.38,2.95,7.13
1730.71,38.36,14.37,6.95,62.64,11.21,140.38,25.41,247.89,293.92,33.32,10.76,80.21,1148.19,39.79,89.43,0.33,77.57,3.59,7.5
1831.63,28.84,53.75,4.44,89.25,52.17,12.23,69.65,405.52,25.35,17.15,10.97,56.49,2457.71,42.72,88.15,0.45,85.62,3.27,6.05
1470.73,13.78,73.83,8.82,92.8,149.92,131.93,59.31,398.87,250.13,29.55,5.43,94.28,460.34,25.73,65.61,0.23,69.61,2.89,5.52
349.39,20.82,78.77,7.01,84.23,99.88,80.45,21.49,310.39,23.38,17.62,10.26,56.44,717.01,42.93,43.84,0.76,10.6,6.73,7.42
291.2,35.33,21.65,6.77,43.87,92.33,13.72,15.25,107.54,108.7,23.26,5.24,34.47,216.88,25.51,80.81,0.9,52.99,7.6,4.42
615.36,17.73,33.51,4.23,67.88,67.51,59.88,90.5,143.03,209.33,15.99,7.04,46.78,390.9,18.15,73.49,0.24,17.65,6.57,2.61
1698.05,21.7,13.03,8.65,141.9,44.26,67.88,11.32,434.84,244.24,17.48,9.33,64,1.92,12.24,72.14,0.95,93.46,3.74,7.78
774.31,25.68,21.76,7.75,42.51,42.4,95.84,67,12.13,293.01,35.1,6.97,49.92,2804.87,15.23,4.75,0.66,92.91,3.07,9.32
1915.86,31.55,45.19,5.28,88.98,66.19,130.06,68.22,436.3,157.93,40.79,6.99,49.72,2339.62,10.94,63.51,0.89,84.18,2.66,2.22
1617.38,20.98,49.8,4.49,29.66,68.31,80.75,40.22,389.25,171.65,2.99,8.91,28.56,1068.08,1.77,6.2,0.91,86.3,6.41,4.58
841.76,23.47,58.42,8.84,36.28,11.96,80.65,28.61,360.25,11.82,17.52,9.88,78.18,675.28,39.42,56.28,0.47,28.63,1.44,5.65
449.38,20.33,52.04,8.09,27.37,120.92,108.29,14.74,346.86,112.47,33.08,10.35,52.7,1623.15,33.15,21.54,0.22,22.53,2.17,6.12
1412.33,23.45,78.89,6.94,57.85,146.21,78.94,38.13,239.94,237.84,28.32,6.43,47.52,2669.73,20.25,53.02,0.11,60.84,0.86,2.31
1477.4,13.42,72.19,8.09,34.01,50.17,69.1,99.26,191.13,64.69,13.64,8.87,38.92,2939.54,34.31,24.24,0.65,48.48,2.76,7.03
783.96,26.06,72.89,4.63,13.05,61.52,53.36,64.61,411.32,124.72,36.9,10.44,57.35,2878.76,35.86,19.59,0.98,63.95,5.27,7.88
1981.7,28.19,52.42,4.96,39.84,31.27,43.22,94.54,447.48,76.69,16.38,5.36,90.45,933.71,37.63,69.39,0.5,27.83,7.49,1.05
1453.92,26.46,17.18,4.23,131.45,80.87,60.26,23.75,449.76,153.4,40.62,11.83,38.19,335.18,39.78,31.27,0.49,28.73,6.97,6.2
1245.32,29.21,54.06,7.15,121.32,27.1,143.24,97.26,346.45,262.28,45.21,11.72,29.29,1474.35,41.36,22.64,0.6,99.06,5.03,3.7
337.67,14.23,14.26,4.5,72.1,149.18,134.02,93.79,164.14,181.68,6.32,8.92,87.04,1903.41,30.99,16.89,0.01,26.62,5.76,9.56
1542.1,17.62,18.21,5.8,13.56,61.25,51.37,70.93,362.57,294.6,32.1,5.92,77.68,2119.19,9.02,86.93,0.51,98.19,1.74,6.54
1546.04,18.48,31.83,6.34,56.46,74.88,79.25,88.67,363.33,207.61,34.9,8.38,55.38,389.43,19.49,97.7,0.88,65.63,0.15,5.5
722.13,24.01,44.14,6.66,101.18,61.86,120.63,75.65,491.34,31.9,5.37,8.28,79.44,1463.95,25.36,68.62,0.38,11.42,2.03,1.72
1490.33,20.92,40.21,6.7,132.59,18.1,68.62,85.92,57.7,259.6,1.63,10.3,76.37,2710.31,43.76,13.62,0.12,29.4,5.06,3.87
1321.5,34.07,60.85,7.21,142.47,89.34,51.52,86.12,130.48,47.37,46.62,6.11,66.08,116.37,30.14,95.58,0.39,32.08,8.81,6.71
886.75,13.49,29.7,7.17,85.87,31.32,83.19,94.09,317.36,110.07,5.36,8.05,61.46,2833.8,25.65,47.43,0.49,31.59,2.28,6.9
1656.43,29.55,53.17,6.33,53.78,86.9,126.16,27.41,400.08,140.69,35.62,7.9,96.31,2090.05,22.74,91.88,0.63,46.82,1.11,9.53
1340.92,35.66,30,8.53,42.66,97.19,75.65,83.89,120.71,181.45,21,8.99,95.06,2857.6,30.39,58.29,0.06,58.23,8.35,5.98
1845.25,32.26,10.01,4.51,105.34,78.36,28.81,65.9,494.3,97.58,29.35,11.06,34.86,1973.23,48.37,5.71,0.16,55.67,2.9,2.32
440.95,31.57,26,8.99,11.94,13.14,21.47,11.2,219.23,31.91,32.63,10.44,89.92,2169.29,47.3,96.51,0.79,57.74,4.72,1.73
1734.97,15.49,77.05,7.71,27.23,45.33,64.12,51.37,307.3,251.06,49.81,6.47,21.32,639.54,49.84,67.33,0.07,56.52,5.72,9.96
672.17,30.35,28.74,6.28,42.53,36.41,95.67,78.18,405.3,291.25,31.96,9.23,38.23,243.63,47.78,62.85,0.9,31.06,3.57,1.47
1460.12,21.86,61.76,7.69,119.38,35.67,134.09,17.34,110.44,271.5,40.53,7.28,60.07,1634.91,45.21,11.65,0.43,40.79,0.43,9.84
467.93,16.55,52.86,7.66,107.84,70.51,35.48,59.22,83.68,146.78,24.13,9.56,76.65,2975.73,16.39,88.61,0.38,42.35,2.34,8.13
1176.85,33.18,53.9,8.58,65.22,59.12,25.96,55.1,19.41,54.52,36.84,10.18,64.01,2127.15,36.92,95.68,0.8,98.38,3.69,3.57
1385.98,26.86,56.51,6.48,123.22,72.12,62,64.85,119.83,56,20.01,11.14,70.85,2372.15,41.4,31.23,0.78,23.63,2.35,1.57
1118.17,26.82,22.52,7.33,30.64,73.23,35.09,40.99,339.78,238.55,10.61,9.88,88.84,2669.16,42.56,65.95,0.22,1.42,3.68,5.58
241.11,16.46,40.43,6.04,24.2,120.27,127.33,10.88,84.58,97.26,40.01,10.79,87.32,525.81,23.18,83.78,0.96,61.37,1.24,9.14
1612.87,32.2,26.05,6.61,47.56,52.48,118.83,77.71,67.01,32.13,42.99,8.11,24.19,1531.54,40.37,72.46,0.88,35.46,0.13,4.97
1670.66,27.64,44.58,7.3,58.99,83.09,112.68,14.71,263.13,126.73,28.61,5.24,54.36,747.64,21.23,71.01,0.37,36.87,3.22,6.25
1030.7,19.48,17.57,7.18,73.03,75.66,63.05,71.03,387.93,123.01,32.48,10.29,53.6,2422.99,7.45,72.54,0.52,67.24,5.22,2.96
973.9,12.74,18.83,8.79,118.53,99.41,122.04,61.04,165.11,268.08,21.7,9.77,49.54,1121.05,30.59,76.45,0.47,67.06,6.12,2.19
211.41,10.62,29.89,5.73,143.47,80.9,59.18,29.92,304.1,267.18,26.6,6.89,83.51,1889.07,21.41,53.46,0.33,49.47,6.52,7.19
788.17,11.01,23,7.8,36.78,125.51,67.73,50.12,1.17,214.19,22.36,9.1,41.32,2358.63,37.15,75.03,0.61,16.69,0.19,1.15
871.99,31.37,40.11,4.64,17.56,60.21,121.31,14.04,311.17,75.85,34.21,6.6,91.72,715.75,36.01,76.2,0.88,30.92,5.29,3.34
1979.07,25.58,29,4.4,71.49,149.97,101.36,63.51,161.95,221.72,26.85,10.94,40.78,139.72,13.8,67.04,0.99,31.37,8.51,6.19
1021.5,11.82,51.79,4.12,74.06,35.76,66.31,39.26,35.38,217.19,25.25,10.95,69.6,1731.09,31.27,67.67,0.7,96.35,9.58,2.56
850.35,24.15,26.58,6.54,120.85,43.59,97.33,86.8,15.22,246.68,45.8,6.77,94.94,932.98,16.79,55.89,0.9,71.62,6.66,9.69
1671.49,20.57,49.81,6.96,38.26,111.27,16.51,84.21,196.58,138.37,21.21,9.74,97.2,583.6,13.55,76.18,0.85,96.82,6.85,4.53
1959.19,39.3,69.29,5.19,31.87,88.94,41.91,71.86,47.44,261.4,47.55,10.15,33.02,2040.33,40.13,24.79,0.81,65.68,3.2,7.58
1860.95,32.75,41.43,6.03,31.56,113.59,104.26,51.3,136.89,242.71,11.94,7.75,91.45,397.74,5.81,85.76,0.95,24.45,9.88,5.89
1349.31,33.19,61.37,7.19,23.34,46.16,15.47,83.22,307,113.07,37.21,5.65,41.33,698.91,15.53,9.83,0.35,84.3,2.09,3.16
1358.79,20.77,26.7,8.27,86.57,20,62.4,36.44,404.29,33.78,38.71,9.01,24.24,91.99,25.63,58.39,0.43,56.71,3.4,3.58
1496.34,32.95,41.91,6.69,61.19,45.83,140.96,21.35,409.54,51.42,49.55,9.2,36.1,914.2,20.63,90.72,0.34,60.43,2.48,9.59
241.25,34.12,51.73,6.57,134.47,90.53,76.82,24.81,121.96,243.6,16.25,7.01,28.49,2561.08,35.71,71.88,0.52,89,3.67,5.11
606.39,21.44,74.77,4.28,122.72,147.1,106.2,56.09,16.35,240.17,32.73,11.49,55.37,2926.34,11.99,17.21,0.12,63.77,5.13,3.7
649.93,30.29,60.44,4.63,23.4,142.67,113.03,56.39,91.19,54.28,23.55,5.15,92.2,124.77,25.75,28.36,0.76,74.04,2.71,8.35
1635.51,16.73,27.08,8.98,129.31,37.12,24.82,46.75,138.84,159.26,35.58,7,52.93,2903.56,44.49,2.15,0.96,95.92,4.17,9.94
1340.97,19.97,15.4,7.02,121.48,53.97,38.14,37.25,263.85,106.89,38.08,8.36,75.97,2114.94,32.98,5.61,0.51,17.3,2.14,4.02
752.44,31.3,38.74,5.66,120.16,124.17,94,99.62,371.11,113.91,28.77,11.8,80.47,2240.18,24.71,18.97,0.92,27.77,4.17,4.31
1327.67,10.26,20.76,7.5,41.7,10.58,30.56,97.84,68.15,292.64,28.71,6.21,34.2,2346.79,31.48,46.53,0.22,18.82,5.19,4.12
1670.8,31.09,10.92,4.13,143.73,62.6,124.93,48.98,169.96,212.79,46.19,10.05,94.38,383.35,32.52,62.6,0.46,83.94,8.77,8.28
1489.29,33.47,31.53,5.5,45.17,21.87,103.06,68.55,345.65,66.49,43.96,7.84,88.85,2759.69,20.53,58.09,0.28,73.93,8.51,7.61
901.34,28.66,13.74,6.26,115.04,40.79,48.29,47.91,207.53,93.28,29.11,9.74,80.81,0.36,29.93,88.58,0.23,69.9,4.9,8.29
1954.82,29.42,55.69,4.74,16.52,43.26,54.77,86.05,333.84,43.24,29,6.54,87.1,1979.68,25.8,4.67,0.77,67.05,0.58,7.37
1572.14,13.01,47.19,5.45,146.78,113.71,126.78,42.81,311.54,112.77,40.43,5.53,38,2122.96,12.11,58.89,0.3,61.36,1.31,7.47
745.8,34.72,78.42,7.77,61.21,11.58,104.13,44.79,342.93,89.03,11.87,10.97,92.59,1512.37,8.02,42.19,0.5,2.94,0.01,3.56
1289.01,12.39,46.9,4.34,103.64,109.45,93.82,89.52,247.26,278.1,37.27,11.17,42.29,1310.52,41.58,46.33,0.85,32.26,6.57,1.06
906.54,16.61,57.8,4.01,12.61,116.37,47.38,61.72,186.51,190.09,10.75,9.6,82.6,1128.51,27.57,2.15,0.73,28.19,0.9,7.5
1279.81,21.27,61.88,6.31,62.37,143.09,27.69,14.69,402.8,49.86,23.37,9.48,39.95,2411.63,3.55,27.25,0.14,9.03,0.64,8.03
643.18,15.66,61.6,6.75,16.5,27.88,73.58,20.53,97.97,48.65,14.84,6.9,80.46,2731.5,44.47,94.01,0.89,5.93,4.07,1.98
783.52,26.16,12.68,7.97,38.29,25.45,141.82,71.01,223.55,255.51,41.23,9.93,49.18,1966.06,14.04,48.17,0.91,63.33,5.88,5.98
311.3,10.8,68.28,4.24,109.01,15.83,60.56,31.74,183.44,121.27,13.57,5.43,62.38,241.6,20.03,94.34,0.15,30.45,7.28,5.5
1383.61,23.79,37.25,6.59,115,127.92,34.71,69.79,143.87,28.6,35.7,8.46,97.68,1617.2,28.89,75.86,0.33,48.41,5.77,2.93
1148.11,31.08,28.27,6.94,114.47,108.31,89.89,74.8,175.05,182.56,41.29,5.32,26.29,1624.72,25.71,64.98,0.44,7.06,4.09,1.98
912.75,23.47,60.63,4.22,23.01,51.24,28.39,66.57,437.39,146.7,18.61,11.02,68.48,301.53,35.7,22.94,0.2,74.52,0.76,2.58
608.76,23.65,51.76,5.76,149.34,55.14,58.12,89.48,104.67,156.88,49.76,8.82,70.47,790.09,15.25,97.66,0.09,10.32,1.95,2.14
315.2,30.43,57.31,7.88,53.96,119.07,65.34,55.87,197.43,93.46,17.27,10.93,74.53,200.35,8.58,36.25,0.13,97.17,4.25,4.38
211.91,36.53,19.78,8.62,34.62,22.64,14.5,89.05,48.99,299.76,18.25,11.84,41.19,750.43,38.92,31.77,0.8,56.4,2.8,3.14
445.01,21.76,57.91,4.08,16.38,104.82,143.14,81.24,427.09,43.45,15.88,11.42,52.34,410.59,40.54,24.62,0.39,24,3.72,7.5
984.38,11.24,66.05,6.23,69.64,133.35,88.43,34.46,244.38,70.99,24.85,10.24,21.59,1696.83,31.23,62.24,0.39,78.26,1.88,4.13
1483.4,28.97,11.93,5.9,59.32,26.78,70.25,17.52,431.54,111.43,37.7,5.72,80.3,2150.21,19.43,69.23,0.21,94.1,4.99,5.79
1307.66,36.74,15.96,6.75,134.08,111.26,98.66,79.78,453.99,134.56,18.4,11.53,93.59,2709.55,1.31,38.24,0.32,26.55,2.45,4.96
1848.41,19.04,39.51,5.53,42.7,51.15,28.58,76.21,18.05,165.86,36.9,5.25,22.74,2512.39,19.66,66.93,0.54,32.99,7.94,7.7
256.09,33.98,71.75,5.19,24.48,86.57,138.31,51.8,112.72,276.94,40.22,10.54,90.84,2746.7,25,4.32,0.27,30.57,9.12,3.12
808.06,23.38,48.34,5.29,41.47,25.26,134.42,77.31,218.59,56.77,21.17,11.47,50.01,2142.51,9.84,71.27,0.04,89.23,7.76,3.4
1986.67,28.75,11.6,7.44,111.77,39.49,11.37,24.94,464.77,103.51,21.1,6.26,38.64,1354.64,16.6,14.31,0.58,8.2,5.19,9.18
1357.99,23.39,36.84,7.22,83.29,14.78,76.54,28.76,450.64,118.37,46.24,11.18,49.31,2128.46,22.09,93.24,0.47,26.79,8.78,5.28
431.84,19.89,41.31,5.24,127.38,115.2,47.4,32.49,447.31,75.73,22.6,10.29,90.71,444.46,38.35,88.39,0.69,84.12,2.13,8.09
263.13,12.97,40,7.39,76.62,133.89,59.61,91.42,71.6,91.27,43.14,8.13,28.81,1876.73,49.11,47.91,0.54,40.75,4.2,1.77
413.09,26.02,32.49,7.1,96.1,145.2,141.73,85.62,482.38,82.64,13.12,5.31,70.84,726.92,29.46,66.29,0.03,64.11,0.46,2.64
215.89,29.52,40.83,5.25,63.02,12.66,37.62,52.93,446.22,134.52,7.84,7.25,52.34,1491.62,3.18,52.95,0.95,46.56,9.37,5.28
899.37,31.98,31.83,6.23,127.09,20.88,74.95,67.08,180.41,232.38,38.14,5.34,77.96,161.05,4.63,96.23,0.28,5.73,5.17,1.42
1833.09,31.31,21.28,8.75,112.47,30.19,149.31,47.49,161.16,155.22,15.36,9.74,67.79,2131.47,48.2,23.65,0.21,77.54,6.63,4.98
260.22,11.28,36.23,8.56,146.47,70.56,119.53,91.14,487.98,92,21.35,10.26,48.08,2072.28,1.84,49.81,0.39,84.12,5.68,6.74
601.9,27.03,22.09,8.55,146.01,67.51,134.55,89.57,307.89,35.97,35.08,6.47,58.24,2187.94,20.36,85.87,0.28,31.02,8.03,8.23
1465.83,22.55,13.56,7.1,104.42,12.34,71.11,67.71,42.02,94.93,3.96,8.43,47.13,41.11,39.3,41.64,0.7,78.89,2.02,2.93
1637.95,31.84,35.22,6.52,40.15,99.58,113.21,17.83,462.69,176.85,11,10.14,59.28,196.82,32.35,39.48,0.15,86.95,1.75,6.28
1896.79,17.36,67.91,8.52,17.76,13.64,28.57,79.76,192.9,174.44,1.64,7.52,91.67,1143.03,13.56,75.49,0.63,4.58,8.26,6.31
1482.61,20.51,74.7,4.57,143.26,148.94,114.22,20.17,363.73,132.43,46.89,8.09,93.09,1119.45,43.63,45.76,0.13,92.59,2.85,1.8
893.62,18.62,54.21,7.03,81.6,78.67,49.22,99.16,141.02,273.96,36.14,9.34,76.33,2048.58,18.81,59.08,0.67,4.5,6.49,7.66
208.12,14.23,35.03,4.49,29.32,50,106,76.89,251.39,115.77,36.88,11.4,76.15,2653.42,34.63,41.24,0.27,30.17,0.11,2.67
1338.74,14.48,74.48,6.06,95.66,28.55,92.94,99.84,444.17,52.42,5.6,10.09,35.1,2564.39,23.61,11.43,0.06,8.73,3.31,7.92
361.93,23.01,11.08,4.73,90.91,113.34,30.19,61.47,293.56,287.73,19.25,6.52,44.57,2449.64,27.88,47.21,0.99,41.95,1.13,1.52
853.86,18.43,66.66,8.85,47.34,52.22,51.28,71.19,247.01,223.98,31.82,5.87,48.93,734.58,40.43,52.61,0.07,91.17,1.22,4.66
868.15,29.07,76.86,5.85,61.16,125.25,110.55,97.6,472.74,101.99,40.01,9.81,60.76,1205.06,31.21,87.48,0.91,66.48,1.39,3.78
1617.1,30.98,69.75,5.13,120.59,68.78,28.75,24.25,408.6,269.23,13.42,11.58,57.72,104.71,17.56,27.4,0.9,45.31,3.92,9.41
993.42,30.75,32,4.88,29.83,130.84,124.04,63.57,331.85,24.93,23.29,8.61,52.07,897.05,6.42,13.56,0.51,73.63,8.11,5.58
1657.87,26,55.04,7.01,74.51,60.54,73.88,84.53,229.94,230.71,33.34,5.69,30.08,2258.83,29.9,72.36,0.3,52.26,8.86,6.4
